body_text,body_len,punct%
"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...",91,14.299999999999999
"And that's fine, I got enough bud to last most of the night at least",54,3.6999999999999997
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",108,5.6000000000000005
I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.,64,4.7
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",235,6.0
Ü wait 4 me in sch i finish ard 5..,26,7.7
Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,39,7.7
I'll pick you up at about 5.15pm to go to taunton if you still want to come.,60,5.0
Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,103,1.9
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,129,1.6
I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon,79,2.5
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.",119,2.5
No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),80,8.7
"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?",64,4.7
"K I'm ready,  &lt;#&gt; ?",20,40.0
More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. A£1.50 minAPN LS278BB,133,4.5
Huh so late... Fr dinner?,21,19.0
I remain unconvinced that this isn't an elaborate test of my willpower,59,1.7000000000000002
I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you,125,1.6
"K, wat s tht incident?",18,11.1
When/where do I pick you up,22,4.5
"whatever, im pretty pissed off.",27,7.3999999999999995
Good evening! this is roger. How are you?,34,8.799999999999999
Yup... How ü noe leh...,19,31.6
Ok lor but not too early. Me still having project meeting now.,51,3.9
Happy birthday... May all ur dreams come true...,41,14.6
Ard 530 like dat lor. We juz meet in mrt station then ü dun haf to come out.,59,3.4000000000000004
"Yo my trip got postponed, you still stocked up?",39,5.1
Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,86,4.7
Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,126,3.2
"Mah b, I'll pick it up tomorrow",25,8.0
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",77,10.4
Can i get your opinion on something first?,35,2.9000000000000004
"Oh, my love, it's soooo good to hear from you. Omg I missed you so much today. I'm sorry your having problems with the provider but thank you for tming me",124,4.8
"Ta-Daaaaa! I am home babe, are you still up ?",36,11.1
"Yeah why not, is the gang all ready",28,3.5999999999999996
ringtoneking 84484,17,0.0
:-) yeah! Lol. Luckily i didn't have a starring role like you!,51,13.700000000000001
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",122,4.1000000000000005
"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*",109,9.2
"Cool, want me to go to kappa or should I meet you outside mu",47,2.1
HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx,93,4.3
Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-),129,9.3
Not to worry. I'm sure you'll get it.,30,13.3
RCT' THNQ Adrian for U text. Rgds Vatian,33,6.1
Yeah I don't see why not,19,5.3
"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... ",116,11.200000000000001
Hope you are feeling great. Pls fill me in. Abiola,41,4.9
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",116,12.1
S...i will take mokka players only:),31,16.1
Been running but only managed 5 minutes and then needed oxygen! Might have to resort to the roller option!,88,2.3
"Sorry, I'll call later",19,10.5
WHAT TIME U WRKIN?,15,6.7
K...k:)why cant you come here and search job:),39,17.9
Anything...,11,27.3
You always make things bigger than they are,36,0.0
"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x",56,12.5
Hurry home. Soup is DONE!,21,9.5
S:)but he had some luck.2 catches put down:),37,13.5
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,128,4.7
"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday",155,2.6
Yo dude guess who just got arrested the other day,40,0.0
Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,119,2.5
Wow v v impressed. Have funs shopping!,32,6.2
Ok but tell me half an hr b4 u come i need 2 prepare.,40,2.5
"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop",125,2.4
"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy",88,8.0
Okie,4,0.0
Are you going to write ccna exam this week??,36,5.6000000000000005
"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",137,9.5
"Customer place, i wil cal u sir.",26,7.7
Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*,108,8.3
No. To be nosy I guess. Idk am I over reacting if I'm freaked?,49,8.200000000000001
Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.,75,4.0
The bus leaves at  &lt;#&gt; ,23,21.7
"Velly good, yes please!",20,10.0
Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,120,6.7
"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",209,11.0
I am not at all happy with what you saying or doing,40,0.0
"fyi I'm at usf now, swing by the room whenever",37,5.4
Most of the tiime when i don't let you hug me it's so i don't break into tears.,62,6.5
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,120,2.5
No probs hon! How u doinat the mo?,27,7.3999999999999995
Oh ok.. Wat's ur email?,19,21.099999999999998
"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",351,6.0
Hi Princess! Thank you for the pics. You are very pretty. How are you?,57,7.000000000000001
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",119,11.799999999999999
"Damn, can you make it tonight or do you want to just wait til tomorrow",56,1.7999999999999998
No i am not having not any movies in my laptop,36,0.0
I dont know what to do to come out of this so only am ask questions like this dont mistake me.,74,1.4000000000000001
Adult 18 Content Your video will be with you shortly,43,0.0
WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,132,3.8
True dear..i sat to pray evening and felt so.so i sms'd you in some time...,61,11.5
No that just means you have a fat head,30,0.0
They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.,118,1.7000000000000002
I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,70,2.9000000000000004
Bought one ringtone and now getting texts costing 3 pound offering more tones etc,68,0.0
"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!",131,10.7
If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,103,9.700000000000001
Me fine..absolutly fine,21,9.5
"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",74,2.7
If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),130,10.8
I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present. ,65,4.6
I'm vivek:)i got call from your number.,33,12.1
NOT MUCH NO FIGHTS. IT WAS A GOOD NITE!!,32,9.4
It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,91,3.3000000000000003
Okie,4,0.0
Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,112,3.5999999999999996
"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..",60,16.7
"Awesome question with a cute answer: Someone asked a boy ""how is ur life?"" . . He smiled &amp; answered: . . ""She is fine!"" Gudnite",106,13.200000000000001
Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex,100,1.0
Really? I crashed out cuddled on my sofa.,34,5.8999999999999995
No no:)this is kallis home ground.amla home town is durban:),51,9.8
I wish things were different. I wonder when i will be able to show you how much i value you. Pls continue the brisk walks no drugs without askin me please and find things to laugh about. I love you dearly.,165,2.4
Networking job is there.,21,4.8
YO YO YO BYATCH WHASSUP?,20,5.0
In that case I guess I'll see you at campus lodge,39,2.6
"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1.",306,6.2
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,50,4.0
Check wid corect speling i.e. Sarcasm,32,6.2
We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,121,0.0
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,94,6.4
You intrepid duo you! Have a great time and see you both soon. ,50,4.0
Thanks for picking up the trash.,27,3.6999999999999997
Oh... Kay... On sat right?,22,31.8
"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",111,13.5
Then cant get da laptop? My matric card wif ü lei... ,42,9.5
I only haf msn. It's yijue@hotmail.com,33,12.1
ok. I am a gentleman and will treat you with dignity and respect.,53,3.8
JADE ITS PAUL. Y DIDNT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,68,5.8999999999999995
Nope... Juz off from work...,24,25.0
"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng...",61,19.7
"No, its true..k,Do u knw dis no. &lt;#&gt; ?",36,30.599999999999998
Wat's my dear doing? Sleeping ah?,28,10.7
Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,70,10.0
Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx,106,2.8000000000000003
Sorry me going home first... Daddy come fetch ü later...,47,12.8
And miss vday the parachute and double coins??? U must not know me very well...,65,9.2
Ok then i will come to ur home after half an hour,38,0.0
Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,83,3.5999999999999996
"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",135,11.1
Your pussy is perfect!,19,5.3
Went to pay rent. So i had to go to the bank to authorise the payment.,55,3.5999999999999996
Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,66,6.1
"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? ",106,5.7
No he didn't. Spring is coming early yay!,34,8.799999999999999
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,134,5.2
If he started searching he will get job in few days.he have great potential and talent.,72,2.8000000000000003
U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,127,3.9
When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...,63,14.299999999999999
Jus finished avatar nigro,22,0.0
"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",134,3.0
"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx",129,5.4
I cant pick the phone right now. Pls send a message,41,2.4
Shall i get my pouch?,17,5.8999999999999995
NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?,57,5.3
Yes baby! We can study all the positions of the kama sutra ;),49,6.1
How much i gave to you. Morning.,26,7.7
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,121,5.0
Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,134,3.6999999999999997
"I'll see, but prolly yeah",21,9.5
Sorry de i went to shop.,19,5.3
"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. £1.50 increments. Help08718728876",130,9.2
"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",117,2.6
"K, if u bored up just come to my home..",30,10.0
Sorry * was at the grocers.,22,9.1
Goodmorning today i am late for  &lt;DECIMAL&gt; min.,45,11.1
I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.,120,5.800000000000001
"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt",128,11.700000000000001
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,80,7.5
Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,125,4.8
Cuz ibored. And don wanna study,26,3.8
You said to me before i went back to bed that you can't sleep for anything.,60,3.3000000000000003
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,36,2.8000000000000003
I've got it down to a tea. not sure which flavour,39,5.1
S da..al r above  &lt;#&gt;,22,31.8
Cold. Dont be sad dear,18,5.6000000000000005
WHORE YOU ARE UNBELIEVABLE.,24,4.2
"Only just got this message, not ignoring you. Yes, i was. Shopping that is",61,6.6000000000000005
Have a good evening! Ttyl,21,4.8
I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,61,11.5
"How is my boy? No sweet words left for me this morning ... *sighs* ... How goes you day, my love ? Did you start your studying?",101,11.899999999999999
Aiyah ok wat as long as got improve can already wat...,44,6.800000000000001
"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho",74,6.800000000000001
 what number do u live at? Is it 11?,27,7.3999999999999995
Have you started in skye,20,0.0
Yes.i'm in office da:),19,21.099999999999998
Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,109,12.8
"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",77,2.6
May b approve panalam...but it should have more posts..,47,10.6
Ok... Help me ask if she's working tmr a not?,36,13.900000000000002
Dear how is chechi. Did you talk to her,31,3.2
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,129,2.3
"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",124,4.8
No she didnt. I will search online and let you know.,42,4.8
You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,127,7.9
S but mostly not like that.,22,4.5
"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...",62,17.7
LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,43,2.3
Which is weird because I know I had it at one point,40,0.0
"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT",102,2.9000000000000004
Hey so whats the plan this sat? ,25,4.0
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,114,3.5000000000000004
Otherwise had part time job na-tuition..,35,8.6
Oh yeah! And my diet just flew out the window,36,2.8000000000000003
Ü only send me the contents page...,29,10.299999999999999
what are your new years plans?,25,4.0
You still coming tonight?,22,4.5
Any pain on urination any thing else?,31,3.2
"How long before you get reply, just defer admission til next semester",58,1.7000000000000002
